Partido,id_Partido
San Carlos,360
San Cayetano,361
San Cosme,362
San Cristóbal,363
San Fernando,364
San Ignacio,365
San Isidro,366
San Javier,367
San Jerónimo,368
San Justo,369
San Lorenzo,370
San Luis del Palmar,371
San Martín,372
San Miguel,373
San Nicolás,374
San Pedro,375
San Rafael,376
San Roque,377
San Salvador,378
San Vicente,379
Sanagasta,380
Santa Catalina,381
Santa Lucía,382
Santa María,383
Santa Rosa,384
Santa Victoria,385
Santo Tomé,386
Sargento Cabral,387
Sarmiento,388
Sauce,389
Silípica,390
Simoca,391
Sobremonte,392
Suipacha,393
Susques,394
Tafí Viejo,395
Tafí del Valle,396
Tala,397
Tandil,398
Tapalqué,399
Tapenagá,400
Tehuelches,401
Telsen,402
Tercero Arriba,403
Tigre,404
Tilcara,405
Tinogasta,406
Toay,407
Tordillo,408
Tornquist,409
Totoral,410
Trancas,411
Trenel,412
Trenque Lauquen,413
Tres Arroyos,414
Tres De Febrero,415
Tres Lomas,416
Tulumba,417
Tumbaya,418
Tunuyán,419
Tupungato,420
Ullum,421
Unión,422
Uruguay,423
Ushuaia,424
Utracán,425
Valcheta,426
Valle Fértil,427
Valle Grande,428
Valle Viejo,429
Vera,430
Vicente López,431
Victoria,432
Villa Gesell,433
Villaguay,434
Villarino,435
Vinchina,436
Yavi,437
Yerba Buena,438
Zapala,439
Zonda,440
Zárate,441
Ñorquincó,442
Ñorquín,443
AMBA,444
Ciudad Autónoma de Buenos Aires,445
OTROS,446
