id_Provincia,id_Partido,id_Localidad,Pais
0,130,1366,Argentina
0,3,1368,Argentina
0,374,1369,Argentina
0,441,1370,Argentina
0,6,1372,Argentina
0,349,1372,Argentina
0,288,1374,Argentina
0,222,1377,Argentina
0,173,1380,Argentina
0,155,1384,Argentina
0,173,1389,Argentina
0,143,1413,Argentina
0,6,1415,Argentina
0,320,1417,Argentina
0,323,1428,Argentina
0,323,1429,Argentina
0,109,1440,Argentina
0,320,1446,Argentina
0,155,1450,Argentina
0,143,1457,Argentina
0,144,1458,Argentina
0,431,1459,Argentina
0,431,1460,Argentina
0,300,1463,Argentina
0,236,1466,Argentina
0,332,1472,Argentina
0,212,1476,Argentina
0,279,1480,Argentina
0,297,1481,Argentina
0,356,1483,Argentina
0,261,1485,Argentina
0,306,1494,Argentina
0,354,1498,Argentina
0,398,1505,Argentina
0,188,1509,Argentina
0,132,1513,Argentina
0,153,1518,Argentina
0,155,1519,Argentina
0,156,1522,Argentina
0,408,1526,Argentina
0,29,1527,Argentina
0,158,1534,Argentina
0,164,1536,Argentina
0,161,1538,Argentina
0,162,1539,Argentina
0,164,1541,Argentina
0,165,1542,Argentina
0,257,1545,Argentina
0,44,1548,Argentina
0,404,1549,Argentina
0,172,1553,Argentina
0,261,1554,Argentina
0,393,1558,Argentina
0,175,1560,Argentina
0,374,1561,Argentina
0,179,1565,Argentina
0,25,1566,Argentina
0,229,1566,Argentina
0,172,1567,Argentina
0,413,1570,Argentina
0,12,1571,Argentina
0,375,1573,Argentina
0,143,1581,Argentina
0,83,1586,Argentina
0,3,1587,Argentina
0,268,1590,Argentina
0,220,1592,Argentina
0,332,1593,Argentina
0,156,1594,Argentina
0,95,1595,Argentina
0,268,1597,Argentina
0,349,1599,Argentina
0,260,1604,Argentina
0,220,1607,Argentina
0,29,1608,Argentina
0,188,1616,Argentina
0,315,1631,Argentina
0,300,1633,Argentina
0,38,1634,Argentina
0,172,1635,Argentina
0,45,1637,Argentina
0,280,1640,Argentina
0,43,1641,Argentina
0,194,1647,Argentina
0,194,1655,Argentina
0,435,1658,Argentina
0,288,1659,Argentina
0,73,1667,Argentina
0,112,1673,Argentina
0,198,1685,Argentina
0,222,1694,Argentina
0,111,1698,Argentina
0,260,1700,Argentina
0,143,1709,Argentina
0,132,1712,Argentina
0,375,1714,Argentina
0,260,1716,Argentina
0,416,1717,Argentina
0,29,1718,Argentina
0,297,1724,Argentina
0,354,1730,Argentina
0,44,1731,Argentina
0,109,1733,Argentina
0,32,1735,Argentina
0,220,1739,Argentina
0,130,1740,Argentina
0,207,1748,Argentina
0,207,1749,Argentina
0,45,1764,Argentina
0,222,1766,Argentina
0,268,1770,Argentina
0,222,1771,Argentina
0,415,1772,Argentina
0,222,1773,Argentina
0,12,1774,Argentina
0,295,1776,Argentina
0,209,1777,Argentina
0,282,1778,Argentina
0,136,1779,Argentina
0,252,1780,Argentina
0,295,1785,Argentina
0,300,1786,Argentina
0,300,1787,Argentina
0,236,1790,Argentina
0,435,1791,Argentina
0,7,1792,Argentina
0,43,1793,Argentina
0,297,1797,Argentina
0,38,1799,Argentina
0,283,1800,Argentina
0,212,1808,Argentina
0,155,1832,Argentina
0,261,1834,Argentina
0,4,1836,Argentina
0,261,1839,Argentina
0,334,1842,Argentina
0,261,1851,Argentina
0,143,1853,Argentina
0,413,1858,Argentina
0,164,1867,Argentina
0,162,1874,Argentina
0,26,1876,Argentina
0,222,1884,Argentina
0,178,1886,Argentina
0,374,1892,Argentina
0,354,1911,Argentina
0,120,1916,Argentina
0,44,1919,Argentina
0,306,1924,Argentina
0,431,1925,Argentina
0,72,1926,Argentina
0,120,1929,Argentina
0,6,1941,Argentina
0,222,1952,Argentina
0,222,1959,Argentina
0,279,1972,Argentina
0,95,1975,Argentina
0,73,1984,Argentina
0,220,1985,Argentina
0,155,1992,Argentina
0,136,1993,Argentina
0,300,1997,Argentina
0,158,1999,Argentina
0,188,2008,Argentina
0,89,2017,Argentina
0,245,2019,Argentina
0,229,2029,Argentina
0,229,2030,Argentina
0,212,2032,Argentina
0,230,2033,Argentina
0,111,2037,Argentina
0,258,2041,Argentina
0,325,2044,Argentina
0,334,2053,Argentina
0,349,2068,Argentina
0,232,2070,Argentina
0,282,2091,Argentina
0,162,2092,Argentina
0,319,2113,Argentina
0,219,2119,Argentina
0,243,2120,Argentina
0,236,2131,Argentina
0,252,2136,Argentina
0,269,2138,Argentina
0,244,2141,Argentina
0,441,2143,Argentina
0,414,2145,Argentina
0,243,2146,Argentina
0,222,2147,Argentina
0,246,2150,Argentina
0,244,2152,Argentina
0,245,2153,Argentina
0,415,2158,Argentina
0,132,2159,Argentina
0,170,2159,Argentina
0,246,2161,Argentina
0,220,2162,Argentina
0,222,2163,Argentina
0,68,2165,Argentina
0,12,2168,Argentina
0,85,2177,Argentina
0,306,2186,Argentina
0,135,2190,Argentina
0,222,2213,Argentina
0,334,2215,Argentina
0,257,2230,Argentina
0,30,2236,Argentina
0,260,2238,Argentina
0,39,2255,Argentina
0,178,2258,Argentina
0,404,2259,Argentina
0,164,2269,Argentina
0,3,2274,Argentina
0,219,2275,Argentina
0,134,2281,Argentina
0,252,2283,Argentina
0,162,2290,Argentina
0,37,2292,Argentina
0,320,2294,Argentina
0,297,2307,Argentina
0,257,2308,Argentina
0,258,2312,Argentina
0,12,2323,Argentina
0,260,2323,Argentina
0,222,2328,Argentina
0,4,2329,Argentina
0,89,2331,Argentina
0,300,2332,Argentina
0,306,2333,Argentina
0,306,2335,Argentina
0,132,2337,Argentina
0,306,2338,Argentina
0,433,2341,Argentina
0,261,2342,Argentina
0,433,2343,Argentina
0,219,2344,Argentina
0,261,2345,Argentina
0,173,2346,Argentina
0,152,2347,Argentina
0,4,2350,Argentina
0,264,2352,Argentina
0,269,2356,Argentina
0,300,2357,Argentina
0,300,2359,Argentina
0,43,2362,Argentina
0,415,2364,Argentina
0,366,2366,Argentina
0,398,2369,Argentina
0,179,2375,Argentina
0,132,2377,Argentina
0,73,2381,Argentina
0,435,2383,Argentina
0,6,2385,Argentina
0,11,2389,Argentina
0,44,2390,Argentina
0,152,2391,Argentina
0,268,2402,Argentina
0,269,2403,Argentina
0,414,2410,Argentina
0,12,2423,Argentina
0,332,2424,Argentina
0,152,2426,Argentina
0,73,2435,Argentina
0,297,2443,Argentina
0,229,2448,Argentina
0,134,2451,Argentina
0,276,2452,Argentina
0,95,2471,Argentina
0,4,2473,Argentina
0,279,2474,Argentina
0,280,2475,Argentina
0,212,2477,Argentina
0,431,2481,Argentina
0,373,2485,Argentina
0,44,2487,Argentina
0,83,2488,Argentina
0,435,2490,Argentina
0,30,2497,Argentina
0,282,2504,Argentina
0,283,2507,Argentina
0,283,2511,Argentina
0,3,2519,Argentina
0,404,2520,Argentina
0,4,2521,Argentina
0,297,2534,Argentina
0,85,2541,Argentina
0,375,2545,Argentina
0,361,2546,Argentina
0,44,2555,Argentina
0,288,2556,Argentina
0,45,2558,Argentina
0,252,2561,Argentina
0,431,2563,Argentina
0,252,2568,Argentina
0,73,2570,Argentina
0,414,2572,Argentina
0,109,2573,Argentina
0,309,2576,Argentina
0,415,2587,Argentina
0,113,2592,Argentina
0,135,2628,Argentina
0,135,2630,Argentina
0,212,2633,Argentina
0,109,2635,Argentina
0,232,2641,Argentina
0,112,2647,Argentina
0,279,2650,Argentina
0,243,2660,Argentina
0,4,2665,Argentina
0,43,2666,Argentina
0,165,2668,Argentina
0,100,2671,Argentina
0,3,2673,Argentina
0,435,2675,Argentina
0,297,2677,Argentina
0,299,2678,Argentina
0,38,2681,Argentina
0,300,2682,Argentina
0,179,2694,Argentina
0,179,2701,Argentina
0,244,2702,Argentina
0,349,2703,Argentina
0,304,2704,Argentina
0,306,2706,Argentina
0,309,2710,Argentina
0,25,2714,Argentina
0,300,2715,Argentina
0,319,2716,Argentina
0,43,2722,Argentina
0,11,2728,Argentina
0,261,2730,Argentina
0,164,2742,Argentina
0,38,2745,Argentina
0,222,2746,Argentina
0,351,2750,Argentina
0,162,2755,Argentina
0,269,2756,Argentina
0,144,2760,Argentina
0,45,2761,Argentina
0,306,2791,Argentina
0,375,2805,Argentina
0,75,2809,Argentina
0,230,2819,Argentina
0,230,2821,Argentina
0,132,2849,Argentina
0,113,2871,Argentina
0,319,2874,Argentina
0,130,2875,Argentina
0,173,2876,Argentina
0,320,2883,Argentina
0,325,2885,Argentina
0,353,2893,Argentina
0,323,2898,Argentina
0,323,2899,Argentina
0,12,2911,Argentina
0,220,2912,Argentina
0,334,2914,Argentina
0,325,2918,Argentina
0,220,2923,Argentina
0,30,2924,Argentina
0,95,2926,Argentina
0,283,2928,Argentina
0,300,2929,Argentina
0,170,2931,Argentina
0,38,2933,Argentina
0,328,2936,Argentina
0,85,2937,Argentina
0,288,2942,Argentina
0,415,2948,Argentina
0,229,2949,Argentina
0,414,2954,Argentina
0,404,2958,Argentina
0,404,2966,Argentina
0,222,2969,Argentina
0,6,2975,Argentina
0,334,2976,Argentina
0,306,2977,Argentina
0,257,2978,Argentina
0,243,2979,Argentina
0,334,2989,Argentina
0,332,2993,Argentina
0,335,2994,Argentina
0,222,3007,Argentina
0,375,3026,Argentina
0,349,3036,Argentina
0,415,3040,Argentina
0,212,3041,Argentina
0,351,3046,Argentina
0,120,3047,Argentina
0,409,3048,Argentina
0,353,3053,Argentina
0,354,3057,Argentina
0,245,3062,Argentina
0,45,3063,Argentina
0,30,3066,Argentina
0,356,3069,Argentina
0,269,3071,Argentina
0,358,3073,Argentina
0,297,3081,Argentina
0,43,3089,Argentina
0,361,3090,Argentina
0,219,3092,Argentina
0,178,3096,Argentina
0,3,3097,Argentina
0,297,3098,Argentina
0,364,3102,Argentina
0,12,3105,Argentina
0,323,3105,Argentina
0,414,3108,Argentina
0,320,3115,Argentina
0,366,3126,Argentina
0,12,3137,Argentina
0,112,3140,Argentina
0,220,3156,Argentina
0,244,3161,Argentina
0,332,3171,Argentina
0,414,3172,Argentina
0,373,3173,Argentina
0,274,3175,Argentina
0,374,3177,Argentina
0,375,3181,Argentina
0,109,3190,Argentina
0,95,3195,Argentina
0,379,3197,Argentina
0,332,3202,Argentina
0,261,3211,Argentina
0,32,3212,Argentina
0,261,3214,Argentina
0,179,3215,Argentina
0,375,3220,Argentina
0,288,3221,Argentina
0,112,3225,Argentina
0,179,3229,Argentina
0,83,3232,Argentina
0,306,3242,Argentina
0,219,3243,Argentina
0,112,3244,Argentina
0,258,3251,Argentina
0,73,3253,Argentina
0,415,3255,Argentina
0,25,3259,Argentina
0,100,3260,Argentina
0,124,3287,Argentina
0,288,3289,Argentina
0,409,3293,Argentina
0,173,3294,Argentina
0,288,3295,Argentina
0,73,3307,Argentina
0,334,3310,Argentina
0,26,3311,Argentina
0,356,3316,Argentina
0,295,3321,Argentina
0,393,3325,Argentina
0,332,3332,Argentina
0,244,3352,Argentina
0,398,3356,Argentina
0,399,3359,Argentina
0,220,3361,Argentina
0,37,3372,Argentina
0,246,3377,Argentina
0,435,3379,Argentina
0,6,3384,Argentina
0,404,3388,Argentina
0,74,3393,Argentina
0,22,3401,Argentina
0,222,3407,Argentina
0,268,3409,Argentina
0,409,3411,Argentina
0,252,3414,Argentina
0,209,3416,Argentina
0,260,3416,Argentina
0,306,3416,Argentina
0,222,3425,Argentina
0,413,3430,Argentina
0,74,3431,Argentina
0,414,3432,Argentina
0,416,3438,Argentina
0,409,3440,Argentina
0,75,3442,Argentina
0,136,3446,Argentina
0,243,3447,Argentina
0,413,3448,Argentina
0,279,3449,Argentina
0,246,3457,Argentina
0,26,3463,Argentina
0,43,3470,Argentina
0,83,3472,Argentina
0,176,3497,Argentina
0,3,3501,Argentina
0,229,3502,Argentina
0,309,3503,Argentina
0,236,3516,Argentina
0,399,3517,Argentina
0,319,3522,Argentina
0,83,3525,Argentina
0,431,3526,Argentina
0,364,3528,Argentina
0,257,3533,Argentina
0,366,3540,Argentina
0,431,3540,Argentina
0,288,3544,Argentina
0,32,3547,Argentina
0,300,3553,Argentina
0,39,3555,Argentina
0,288,3556,Argentina
0,306,3558,Argentina
0,176,3562,Argentina
0,176,3563,Argentina
0,176,3571,Argentina
0,29,3575,Argentina
0,415,3578,Argentina
0,143,3579,Argentina
0,37,3581,Argentina
0,374,3583,Argentina
0,374,3585,Argentina
0,320,3588,Argentina
0,130,3591,Argentina
0,246,3593,Argentina
0,176,3595,Argentina
0,176,3607,Argentina
0,260,3610,Argentina
0,39,3611,Argentina
0,25,3614,Argentina
0,220,3616,Argentina
0,222,3626,Argentina
0,222,3628,Argentina
0,38,3630,Argentina
0,374,3631,Argentina
0,356,3632,Argentina
0,29,3633,Argentina
0,246,3636,Argentina
0,172,3639,Argentina
0,222,3641,Argentina
0,176,3642,Argentina
0,113,3643,Argentina
0,176,3645,Argentina
0,4,3646,Argentina
0,176,3648,Argentina
0,176,3649,Argentina
0,325,3655,Argentina
0,433,3656,Argentina
0,207,3661,Argentina
0,176,3662,Argentina
0,176,3663,Argentina
0,176,3664,Argentina
0,11,3665,Argentina
0,39,3671,Argentina
0,320,3672,Argentina
0,176,3674,Argentina
0,176,3675,Argentina
0,112,3679,Argentina
0,323,3681,Argentina
0,288,3686,Argentina
0,30,3690,Argentina
0,176,3695,Argentina
0,220,3706,Argentina
0,176,3707,Argentina
0,43,3708,Argentina
0,358,3709,Argentina
0,176,3711,Argentina
0,100,3714,Argentina
0,334,3714,Argentina
0,6,3716,Argentina
0,176,3719,Argentina
0,431,3720,Argentina
0,11,3721,Argentina
