ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL,id_Provincia,id_Localidad,id_Partido
--,--,--,--,SI,SI,--,--,--,5,109,341
SI,SI,--,SI,SI,SI,SI,SI,--,5,541,341
SI,--,--,--,SI,SI,--,--,SI,5,571,341
--,--,--,SI,SI,SI,SI,--,SI,5,782,341
SI,--,--,SI,SI,SI,SI,SI,--,5,833,341
--,--,--,SI,SI,SI,--,--,--,5,1013,341
--,--,--,SI,SI,SI,--,SI,SI,3,3572,370
--,--,--,SI,SI,SI,SI,SI,--,3,664,387
--,--,--,--,SI,SI,SI,--,SI,3,914,387
--,--,--,SI,SI,SI,SI,SI,--,3,978,387
--,--,--,--,--,--,--,--,--,3,1701,387
--,--,--,--,SI,SI,SI,SI,SI,3,2071,387
--,--,--,SI,SI,SI,SI,--,SI,3,791,400
--,--,--,--,SI,--,SI,--,--,3,1053,400
--,--,--,--,--,--,--,--,--,3,1645,400
--,--,--,--,--,--,--,--,--,3,1666,400
--,--,--,--,--,--,--,--,--,3,1979,400
--,--,--,--,--,--,--,--,SI,4,227,42
SI,SI,SI,SI,SI,SI,SI,SI,SI,4,2848,42
--,--,--,--,SI,SI,SI,SI,SI,4,2853,42
--,--,--,--,SI,SI,--,SI,--,4,2902,42
SI,SI,--,SI,SI,SI,SI,SI,--,5,1076,116
--,--,--,SI,--,--,--,SI,--,5,1198,116
--,--,--,--,--,--,--,--,--,5,1312,116
--,--,--,--,--,--,--,SI,--,5,1618,116
--,--,--,--,--,--,--,--,SI,5,1840,116
--,--,--,--,--,--,--,SI,--,5,1841,116
SI,--,--,--,SI,--,SI,SI,--,5,1907,116
--,--,--,--,--,--,--,--,--,5,2056,116
--,--,--,SI,--,--,--,SI,--,5,2108,116
--,--,--,SI,--,--,--,SI,--,5,2198,116
--,--,--,--,--,--,--,SI,--,5,2394,116
SI,--,--,--,SI,SI,SI,SI,--,5,2653,116
--,SI,--,SI,SI,SI,SI,SI,--,5,3163,116
SI,--,--,SI,SI,SI,SI,SI,--,5,3286,116
--,--,--,--,--,--,--,SI,--,5,3451,116
SI,--,--,SI,SI,SI,SI,SI,SI,0,787,173
--,--,--,--,--,--,SI,SI,--,0,1265,173
--,--,--,--,SI,SI,--,--,--,0,1380,173
SI,--,--,SI,SI,SI,--,SI,SI,0,1389,173
SI,SI,SI,SI,SI,SI,SI,SI,SI,0,2346,173
--,--,--,--,SI,SI,--,--,--,0,2876,173
SI,--,--,SI,SI,SI,SI,SI,--,0,3294,173
--,--,--,SI,SI,SI,--,--,--,0,464,175
--,--,--,--,SI,SI,--,--,--,0,1055,175
SI,SI,SI,SI,SI,SI,SI,SI,SI,1,20,51
SI,SI,SI,SI,SI,SI,SI,SI,SI,4,987,131
--,--,--,--,SI,SI,--,SI,--,4,1125,131
--,--,--,--,--,--,--,--,--,4,1822,131
--,--,--,--,SI,SI,--,--,--,4,1814,131
--,--,--,--,--,--,--,--,--,4,1815,131
--,--,--,--,SI,SI,--,--,--,4,1816,131
SI,SI,SI,SI,SI,SI,SI,SI,SI,1,263,51
SI,SI,SI,SI,SI,SI,SI,SI,--,4,2910,131
--,--,--,--,SI,--,SI,SI,SI,4,610,144
--,--,--,--,--,--,--,SI,--,4,1504,144
--,--,--,--,--,--,SI,--,SI,4,80,148
--,--,SI,--,--,--,SI,--,SI,4,1007,148
SI,SI,SI,--,SI,SI,SI,SI,SI,4,1375,148
--,--,SI,SI,SI,SI,SI,SI,--,0,1554,261
--,--,--,--,SI,SI,--,SI,--,0,1834,261
--,--,--,--,SI,SI,--,--,--,0,1839,261
--,--,--,--,--,--,--,SI,--,0,1851,261
--,--,--,--,SI,SI,SI,--,--,0,2342,261
SI,--,SI,SI,--,--,SI,--,--,0,2345,261
--,--,--,--,SI,SI,--,SI,--,0,2730,261
SI,--,--,SI,SI,SI,--,SI,--,0,3211,261
--,--,--,--,--,--,--,--,--,0,3214,261
--,--,--,SI,SI,SI,SI,SI,--,0,3858,261
--,--,--,--,SI,--,--,--,--,0,477,264
SI,SI,SI,SI,SI,SI,SI,SI,SI,0,2352,264
--,--,--,--,--,--,--,--,--,0,1590,268
SI,--,SI,SI,SI,SI,SI,SI,SI,0,523,37
--,--,--,SI,--,--,--,SI,--,0,2292,37
--,--,--,--,SI,SI,--,--,--,0,3372,37
--,--,--,SI,SI,SI,--,SI,SI,0,3581,37
SI,SI,SI,SI,SI,SI,SI,SI,SI,0,527,38
SI,SI,--,SI,SI,SI,SI,--,--,0,528,38
SI,SI,--,SI,SI,SI,SI,--,--,0,682,38
SI,SI,--,--,SI,SI,SI,SI,--,0,757,38
SI,--,--,--,--,--,SI,--,--,5,3264,410
--,--,--,--,--,--,SI,--,--,5,3302,410
SI,SI,SI,SI,SI,SI,SI,--,--,0,1634,38
SI,SI,SI,SI,SI,SI,SI,SI,--,0,1799,38
SI,SI,SI,SI,SI,--,SI,--,--,0,2681,38
--,SI,--,SI,SI,SI,SI,--,--,0,2745,38
SI,SI,SI,SI,SI,SI,SI,--,SI,0,2933,38
SI,SI,--,SI,SI,SI,SI,--,--,0,3630,38
--,--,--,--,SI,--,--,--,--,0,328,39
--,--,--,SI,SI,SI,--,SI,--,0,356,39
--,--,--,--,SI,SI,--,--,--,0,483,39
--,--,--,--,SI,SI,--,--,SI,7,1223,100
--,--,--,--,--,--,--,SI,--,7,1642,100
--,--,SI,--,SI,SI,SI,--,SI,0,1553,172
SI,--,--,--,SI,SI,--,--,--,0,1567,172
--,--,--,--,--,SI,--,--,--,0,1635,172
--,--,--,SI,SI,--,SI,--,SI,0,3639,172
--,--,--,--,--,--,--,--,--,0,3768,172
--,--,--,--,SI,SI,--,SI,--,0,346,173
--,--,--,--,SI,--,--,SI,--,0,355,173
--,--,--,--,--,--,--,SI,--,0,358,173
--,--,--,SI,SI,SI,--,SI,--,0,361,173
--,--,--,--,SI,SI,--,SI,--,0,401,173
--,--,--,SI,SI,SI,--,SI,SI,0,475,173
SI,--,--,SI,SI,SI,SI,SI,SI,0,504,173
SI,--,--,SI,SI,SI,SI,SI,--,0,611,173
--,--,--,--,SI,--,--,SI,--,7,1665,100
SI,SI,SI,SI,SI,SI,SI,SI,--,0,1716,260
SI,SI,SI,SI,SI,SI,SI,SI,SI,0,2238,260
--,SI,--,SI,--,--,--,SI,--,0,2323,260
SI,SI,--,SI,SI,SI,SI,--,--,0,3416,260
SI,SI,SI,SI,SI,SI,SI,SI,--,0,3610,260
--,--,--,--,SI,SI,--,--,--,0,243,261
--,--,--,--,SI,SI,--,--,--,0,612,261
SI,SI,--,SI,SI,SI,SI,SI,--,0,1034,261
--,--,--,--,SI,SI,--,--,--,0,1485,261
SI,SI,SI,SI,SI,SI,SI,SI,SI,0,3173,373
--,--,--,--,--,--,--,--,--,0,634,374
SI,--,--,--,SI,SI,SI,--,SI,0,995,374
--,--,--,--,--,--,--,SI,--,0,1369,374
--,--,--,SI,SI,SI,SI,--,SI,0,1561,374
--,--,--,--,SI,SI,--,--,--,0,1892,374
SI,SI,SI,SI,SI,SI,SI,SI,SI,0,3177,374
--,--,--,--,--,SI,--,--,--,0,3583,374
--,--,--,--,SI,SI,--,--,--,0,3585,374
--,--,--,--,--,--,--,--,--,0,3631,374
--,--,--,--,--,--,--,--,--,0,3763,374
--,--,--,--,SI,SI,--,--,--,0,1573,375
--,--,--,--,--,--,--,--,--,0,1714,375
--,--,--,--,SI,--,--,--,--,0,2545,375
--,--,--,--,--,--,--,--,--,0,2805,375
--,--,--,SI,SI,SI,--,--,--,0,3026,375
SI,SI,--,SI,SI,SI,SI,SI,SI,0,3181,375
--,--,--,SI,SI,SI,SI,--,SI,0,3220,375
SI,SI,SI,SI,SI,SI,SI,SI,--,0,96,379
--,SI,--,--,SI,SI,SI,SI,--,0,1144,379
SI,SI,SI,SI,SI,SI,SI,SI,--,0,3197,379
SI,--,--,--,SI,--,SI,SI,--,0,1558,393
SI,--,SI,SI,SI,SI,SI,SI,--,0,3325,393
--,--,--,--,--,--,--,SI,--,0,1106,398
SI,SI,SI,SI,SI,SI,SI,SI,SI,1,2583,50
SI,--,SI,SI,SI,SI,SI,--,SI,4,1499,149
--,--,--,--,--,--,SI,--,SI,4,550,151
--,--,--,--,--,--,SI,--,SI,4,1241,151
--,--,--,--,SI,--,SI,SI,--,4,1514,151
--,--,--,--,--,--,SI,SI,SI,4,2022,151
--,--,--,--,--,--,--,--,SI,4,3881,151
--,--,--,--,--,--,SI,SI,SI,4,79,228
--,--,--,--,--,--,SI,--,SI,4,692,228
--,--,--,--,SI,--,--,--,--,7,1665,100
SI,SI,SI,SI,SI,SI,SI,SI,SI,1,2298,56
SI,--,--,--,SI,SI,SI,--,--,5,1027,341
SI,--,--,SI,SI,SI,SI,SI,--,5,1349,341
SI,--,--,--,--,SI,SI,SI,SI,5,1856,341
--,--,--,--,SI,--,SI,--,--,5,1859,341
--,--,--,--,--,--,--,--,--,5,1903,341
SI,--,--,SI,SI,SI,SI,--,--,5,2038,341
SI,SI,SI,SI,SI,SI,SI,SI,SI,1,260,59
--,--,--,--,--,--,SI,SI,SI,4,874,228
--,--,--,--,--,--,SI,SI,SI,4,2659,228
--,--,--,--,--,--,SI,--,SI,4,3371,228
--,--,--,--,--,--,--,--,SI,4,1269,281
--,--,--,--,--,--,SI,--,SI,4,2109,281
--,SI,--,--,--,--,SI,--,SI,4,768,293
--,--,--,--,--,--,SI,SI,SI,4,2174,293
--,--,--,--,SI,--,SI,--,SI,4,2654,293
--,SI,--,--,--,--,--,SI,--,4,2731,329
SI,SI,SI,SI,SI,SI,SI,SI,--,0,563,44
--,--,--,SI,SI,SI,--,SI,--,0,986,44
SI,--,--,SI,SI,SI,SI,SI,--,0,1548,44
--,SI,--,--,SI,--,SI,SI,--,0,1731,44
--,--,--,--,--,--,--,--,--,0,1919,44
--,--,--,--,--,--,--,--,--,0,2487,44
SI,SI,--,--,--,--,--,SI,--,0,2390,44
--,--,--,--,--,--,--,SI,--,0,2555,44
SI,--,--,--,--,--,--,SI,--,0,3865,44
--,--,--,--,SI,--,SI,--,--,0,113,45
--,--,--,--,SI,SI,--,--,--,0,366,45
--,--,--,--,SI,SI,--,--,--,0,413,45
--,--,--,--,--,--,--,--,--,0,421,45
--,--,--,--,--,--,--,--,--,0,448,45
--,--,--,--,SI,SI,--,--,--,0,635,45
--,--,--,--,--,--,--,--,--,0,867,45
--,--,--,--,--,--,--,--,--,7,2817,292
--,--,--,--,--,--,--,SI,--,15,484,174
SI,SI,--,SI,SI,SI,SI,SI,--,0,1017,45
--,--,--,--,SI,--,SI,--,--,0,1637,45
SI,--,--,SI,SI,SI,SI,--,--,0,1764,45
--,--,--,--,SI,--,SI,--,--,0,2558,45
--,--,--,--,SI,SI,--,--,--,0,2761,45
--,--,--,--,--,--,--,--,--,0,3063,45
--,--,--,SI,SI,SI,--,SI,--,0,119,68
--,--,--,--,SI,SI,--,SI,--,0,427,68
SI,SI,SI,SI,SI,SI,SI,SI,SI,0,616,68
--,--,--,--,SI,SI,--,SI,--,0,780,68
--,SI,--,--,SI,SI,--,--,--,0,2165,68
SI,SI,SI,SI,SI,SI,SI,SI,SI,0,1560,175
--,--,SI,SI,SI,--,SI,SI,--,0,447,176
SI,SI,--,SI,SI,SI,SI,--,--,0,547,176
SI,SI,--,SI,SI,SI,SI,SI,SI,0,851,176
--,SI,--,--,SI,SI,SI,--,--,0,853,176
--,SI,--,--,SI,SI,--,--,--,0,3497,176
--,SI,--,SI,SI,SI,--,--,--,0,3562,176
SI,SI,SI,SI,SI,SI,SI,SI,--,0,3563,176
--,SI,--,SI,SI,SI,--,--,--,0,3571,176
--,SI,--,SI,SI,SI,--,--,--,0,3595,176
