Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud,id_Provincia,id_Localidad,id_Partido
7444,--,--,--,--,SI,--,SI,SI,SI,6798020.0,"-36,3573669882462","-60,0247443487218",0,3359,399
127,--,--,--,--,--,--,--,--,--,6798030.0,"-36,1215309084723","-59,6527146246682",0,3517,399
42781,SI,SI,--,SI,SI,SI,SI,SI,SI,6805010.0,"-34,4104347356392","-58,6887919689512",0,520,404
3351,SI,SI,--,SI,--,SI,SI,SI,SI,6805010.0,"-34,3717750147952","-58,6917925096496",0,1134,404
37575,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010.0,"-34,6276862905939","-58,4835872783595",1,1431,56
179,--,--,--,--,SI,--,SI,--,--,26035050.0,"-43,1847146210617","-71,6413919295155",4,2200,148
6353,SI,--,SI,--,SI,SI,SI,SI,SI,26035060.0,"-43,0908711905976","-71,4654853699539",4,3443,148
28,--,--,--,--,SI,--,SI,--,--,26035070.0,"-42,9006375858067","-71,6061535113717",4,3640,148
237,--,--,--,SI,SI,--,--,SI,SI,26042040.0,"-43,3809771295585","-65,8386877428492",4,9,149
156,--,--,--,--,--,--,SI,--,--,26042010.0,"-43,7032847513538","-66,479400323535",4,1133,149
2887,--,--,SI,SI,SI,--,SI,--,SI,26042020.0,"-43,309297578868","-65,7087388385691",4,1141,149
66169,SI,SI,SI,SI,SI,SI,SI,SI,SI,6756010.0,"-34,4944230772436","-58,5105732755943",0,2366,366
45403,SI,SI,SI,SI,SI,SI,SI,SI,SI,6756010.0,"-34,4770412162141","-58,52719519996",0,3126,366
35473,SI,SI,--,SI,--,--,SI,SI,SI,6756010.0,"-34,5151197673508","-58,5457579220177",0,3540,366
74138,SI,SI,SI,SI,SI,SI,SI,SI,SI,6760010.0,"-34,5751401519414","-58,6960409885544",0,516,373
1525,--,--,--,--,SI,--,--,SI,SI,6760010.0,"-34,5346818189868","-58,6513860167431",0,621,373
28615,SI,SI,SI,SI,--,--,SI,SI,SI,6760010.0,"-34,5557351629874","-58,7080227572424",0,2485,373
216,--,--,--,--,--,SI,SI,--,--,14028030.0,"-30,8666932853441","-64,6829010647536",5,644,116
130,--,--,--,--,--,SI,--,--,--,14028040.0,"-31,0662466251544","-64,9425321672363",5,1073,116
87698,SI,SI,SI,SI,--,SI,SI,SI,SI,6098010.0,"-34,8746353679645","-57,8947472316799",0,530,39
0,--,--,--,--,--,--,--,--,--,6098010.0,"-34,9190209219847","-57,7909954962894",0,2255,39
0,--,--,--,SI,--,SI,--,SI,SI,6098010.0,"-34,9053981881099","-57,9180815078165",0,3555,39
0,--,--,--,--,--,--,--,SI,SI,6098010.0,"-34,8802085383888","-57,8663036732616",0,3611,39
0,--,--,--,--,--,--,--,--,--,6098010.0,"-34,8829519743895","-57,8614892695719",0,3671,39
0,--,--,--,SI,--,SI,--,SI,SI,6098010.0,"-34,8957079362353","-57,9108816644737",0,3732,39
0,--,--,--,--,--,--,--,--,--,6098010.0,"-34,891043310448","-57,8963773978494",0,3752,39
0,--,--,--,SI,--,SI,--,--,--,6098010.0,"-34,9308766123633","-57,8468799885622",0,3753,39
