id_Provincia,Año,Trimestre,Banda ancha fija,Dial up,Total
15,2020,3,130966,501,131467
16,2020,3,180844,2,180846
17,2020,3,77071,256,77327
18,2020,3,116417,148,116565
19,2020,3,39084,197,39281
20,2020,3,802861,137,802998
21,2020,3,105491,1,105492
22,2020,3,39366,289,39655
23,2020,3,223854,22,223876
0,2020,2,3772480,5066,3777546
1,2020,2,1356431,1390,1357821
2,2020,2,47975,1,47976
3,2020,2,128129,3,128132
4,2020,2,107831,825,108656
5,2020,2,836413,55,836468
6,2020,2,118863,3,118866
7,2020,2,234100,13,234113
8,2020,2,47932,0,47932
9,2020,2,94316,0,94316
10,2020,2,89693,116,89809
11,2020,2,52152,3,52155
12,2020,2,200569,615,201184
13,2020,2,140340,0,140340
14,2020,2,125799,373,126172
15,2020,2,128985,501,129486
16,2020,2,177760,2,177762
17,2020,2,69521,256,69777
18,2020,2,113804,148,113952
19,2020,2,38672,197,38869
20,2020,2,777795,137,777932
21,2020,2,105446,1,105447
22,2020,2,38900,289,39189
23,2020,2,217134,22,217156
0,2020,1,3702985,5066,3708051
1,2020,1,1352104,1390,1353494
2,2020,1,39634,1,39635
3,2020,1,120274,3,120277
4,2020,1,95938,800,96738
5,2020,1,811044,55,811099
6,2020,1,113967,3,113970
7,2020,1,231833,13,231846
8,2020,1,46434,0,46434
9,2020,1,91665,0,91665
10,2020,1,89110,116,89226
11,2020,1,48337,3,48340
12,2020,1,182837,615,183452
13,2020,1,133552,0,133552
14,2020,1,121354,373,121727
15,2020,1,125699,501,126200
16,2020,1,170379,2,170381
17,2020,1,63975,256,64231
18,2020,1,110404,148,110552
19,2020,1,38625,197,38822
20,2020,1,770981,137,771118
21,2020,1,102754,1,102755
22,2020,1,38505,289,38794
23,2020,1,200045,22,200067
0,2019,4,3681120,5134,3686254
1,2019,4,1356695,1410,1358105
2,2019,4,38310,1,38311
3,2019,4,117900,3,117903
4,2019,4,95292,810,96102
5,2019,4,806633,55,806688
6,2019,4,113831,3,113834
7,2019,4,239017,13,239030
8,2019,4,46711,0,46711
9,2019,4,88881,0,88881
10,2019,4,90280,119,90399
11,2019,4,48999,3,49002
12,2019,4,185157,623,185780
13,2019,4,135813,0,135813
14,2019,4,116069,376,116445
15,2019,4,126636,504,127140
16,2019,4,172443,2,172445
17,2019,4,64715,259,64974
18,2019,4,108053,148,108201
19,2019,4,39170,200,39370
20,2019,4,769019,150,769169
21,2019,4,103587,1,103588
22,2019,4,40101,291,40392
23,2019,4,198621,23,198644
0,2019,3,3950114,10119,3960233
1,2019,3,1437734,3477,1441211
2,2019,3,32391,9,32400
3,2019,3,114438,13,114451
4,2019,3,87481,1524,89005
5,2019,3,782946,107,783053
6,2019,3,112749,10,112759
7,2019,3,238057,45,238102
8,2019,3,46066,0,46066
9,2019,3,86575,1,86576
10,2019,3,90559,269,90828
11,2019,3,49659,18,49677
12,2019,3,223015,1322,224337
13,2019,3,133883,0,133883
14,2019,3,123435,1986,125421
15,2019,3,143391,904,144295
16,2019,3,151834,1,151835
17,2019,3,72535,563,73098
18,2019,3,122409,291,122700
19,2019,3,37642,328,37970
20,2019,3,760706,228,760934
21,2019,3,133130,2,133132
22,2019,3,48043,544,48587
23,2019,3,164099,32,164131
0,2019,2,3845594,10104,3855698
1,2019,2,1412177,3443,1415620
2,2019,2,33626,9,33635
3,2019,2,108721,13,108734
4,2019,2,86038,1518,87556
5,2019,2,775023,105,775128
6,2019,2,111539,10,111549
7,2019,2,235780,44,235824
8,2019,2,46438,0,46438
9,2019,2,86706,1,86707
10,2019,2,89937,268,90205
11,2019,2,50283,18,50301
12,2019,2,222535,1322,223857
13,2019,2,132878,0,132878
14,2019,2,120954,1999,122953
15,2019,2,137632,915,138547
16,2019,2,142567,1,142568
17,2019,2,69461,564,70025
18,2019,2,117094,291,117385
19,2019,2,30225,325,30550
20,2019,2,743258,226,743484
21,2019,2,126752,2,126754
22,2019,2,46910,544,47454
23,2019,2,166299,32,166331
0,2019,1,3736563,10104,3746667
1,2019,1,1396157,3443,1399600
2,2019,1,33613,9,33622
3,2019,1,103664,13,103677
4,2019,1,78260,1518,79778
5,2019,1,744010,105,744115
6,2019,1,102477,10,102487
7,2019,1,232403,44,232447
8,2019,1,45211,0,45211
9,2019,1,90146,1,90147
10,2019,1,88892,268,89160
11,2019,1,51638,18,51656
12,2019,1,204976,1322,206298
13,2019,1,122720,0,122720
14,2019,1,112321,2056,114377
15,2019,1,120173,915,121088
16,2019,1,136019,1,136020
17,2019,1,61881,564,62445
18,2019,1,96044,291,96335
19,2019,1,24580,325,24905
20,2019,1,736851,227,737078
21,2019,1,89851,2,89853
22,2019,1,45903,544,46447
23,2019,1,171970,32,172002
0,2018,4,3626502,10104,3636606
1,2018,4,1385577,3443,1389020
2,2018,4,33574,9,33583
3,2018,4,103257,13,103270
4,2018,4,77204,1518,78722
5,2018,4,737234,105,737339
6,2018,4,100591,10,100601
7,2018,4,222003,44,222047
8,2018,4,45204,0,45204
9,2018,4,90132,1,90133
10,2018,4,85368,268,85636
11,2018,4,51633,18,51651
12,2018,4,204982,1322,206304
13,2018,4,116273,0,116273
14,2018,4,112309,2056,114365
15,2018,4,115922,915,116837
16,2018,4,134577,1,134578
17,2018,4,61834,564,62398
18,2018,4,96040,291,96331
19,2018,4,24443,325,24768
20,2018,4,720161,229,720390
21,2018,4,89333,2,89335
22,2018,4,45716,544,46260
23,2018,4,171972,32,172004
0,2018,3,3599714,10563,3610277
1,2018,3,1385804,6686,1392490
2,2018,3,34215,11,34226
3,2018,3,102021,12,102033
4,2018,3,101310,2426,103736
5,2018,3,725764,94,725858
6,2018,3,99445,11,99456
7,2018,3,204560,48,204608
8,2018,3,44865,0,44865
9,2018,3,44934,1,44935
10,2018,3,83180,244,83424
11,2018,3,51855,17,51872
12,2018,3,205545,1484,207029
13,2018,3,108042,0,108042
14,2018,3,114713,2005,116718
15,2018,3,112433,1059,113492
16,2018,3,132882,1,132883
17,2018,3,63823,658,64481
18,2018,3,74121,300,74421
19,2018,3,33565,434,33999
20,2018,3,694883,217,695100
21,2018,3,86358,2,86360
22,2018,3,45056,508,45564
23,2018,3,171135,31,171166
0,2018,2,3490134,10565,3500699
1,2018,2,1362498,6688,1369186
2,2018,2,34078,11,34089
3,2018,2,98509,12,98521
4,2018,2,98137,2427,100564
5,2018,2,712979,94,713073
6,2018,2,97946,11,97957
7,2018,2,199937,48,199985
8,2018,2,44554,0,44554
9,2018,2,45132,1,45133
10,2018,2,82177,244,82421
11,2018,2,51931,17,51948
12,2018,2,199468,1484,200952
13,2018,2,106147,0,106147
14,2018,2,113842,2006,115848
15,2018,2,111176,1059,112235
16,2018,2,134166,1,134167
17,2018,2,63443,658,64101
18,2018,2,21168,300,21468
19,2018,2,33970,435,34405
20,2018,2,684243,309,684552
21,2018,2,83773,2,83775
22,2018,2,44199,508,44707
23,2018,2,169926,31,169957
0,2018,1,3464882,10564,3475446
1,2018,1,1359882,6688,1366570
2,2018,1,33934,11,33945
3,2018,1,96925,12,96937
4,2018,1,95532,2427,97959
5,2018,1,713825,101,713926
6,2018,1,94406,11,94417
7,2018,1,197346,48,197394
8,2018,1,32328,0,32328
9,2018,1,44405,1,44406
10,2018,1,82668,396,83064
11,2018,1,52228,17,52245
12,2018,1,199463,1484,200947
13,2018,1,103580,0,103580
14,2018,1,115897,2006,117903
15,2018,1,110057,1062,111119
16,2018,1,133182,1,133183
17,2018,1,62610,658,63268
18,2018,1,21096,300,21396
19,2018,1,33970,435,34405
20,2018,1,679717,309,680026
21,2018,1,82916,2,82918
22,2018,1,31106,508,31614
23,2018,1,168026,31,168057
0,2017,4,3171206,10690,3181896
1,2017,4,1575418,6906,1582324
2,2017,4,29548,10,29558
3,2017,4,96603,12,96615
4,2017,4,91012,2428,93440
5,2017,4,709874,105,709979
6,2017,4,93760,11,93771
7,2017,4,193654,49,193703
8,2017,4,32056,0,32056
9,2017,4,43551,1,43552
10,2017,4,81675,396,82071
11,2017,4,52177,17,52194
12,2017,4,178661,1490,180151
13,2017,4,103895,0,103895
14,2017,4,114965,2006,116971
15,2017,4,108702,1062,109764
16,2017,4,132811,1,132812
17,2017,4,57965,659,58624
18,2017,4,14604,300,14904
19,2017,4,29018,434,29452
20,2017,4,672137,323,672460
21,2017,4,68842,2,68844
22,2017,4,28346,508,28854
23,2017,4,162298,34,162332
0,2017,3,3046758,11202,3057960
1,2017,3,1563289,7070,1570359
2,2017,3,33467,11,33478
3,2017,3,93747,12,93759
4,2017,3,81067,2477,83544
5,2017,3,696536,108,696644
6,2017,3,92536,12,92548
7,2017,3,185414,50,185464
8,2017,3,32105,0,32105
9,2017,3,43241,1,43242
10,2017,3,79280,410,79690
11,2017,3,51896,17,51913
12,2017,3,190958,1533,192491
13,2017,3,100476,0,100476
14,2017,3,113755,2029,115784
15,2017,3,106393,1103,107496
16,2017,3,132517,1,132518
17,2017,3,61789,660,62449
18,2017,3,21408,311,21719
19,2017,3,33222,468,33690
20,2017,3,662086,256,662342
21,2017,3,82792,2,82794
22,2017,3,30883,583,31466
23,2017,3,160979,33,161012
0,2017,2,3067430,11201,3078631
1,2017,2,1592175,8016,1600191
2,2017,2,26692,13,26705
3,2017,2,90597,14,90611
4,2017,2,62245,1730,63975
5,2017,2,657505,133,657638
6,2017,2,90085,12,90097
7,2017,2,182675,57,182732
8,2017,2,29956,0,29956
9,2017,2,42656,1,42657
10,2017,2,72573,449,73022
11,2017,2,16271,18,16289
12,2017,2,169302,1451,170753
13,2017,2,99794,0,99794
14,2017,2,115321,2112,117433
15,2017,2,100621,998,101619
16,2017,2,108540,1,108541
17,2017,2,51261,620,51881
18,2017,2,12992,315,13307
19,2017,2,26019,369,26388
20,2017,2,566918,362,567280
21,2017,2,33194,2,33196
22,2017,2,31938,619,32557
23,2017,2,154374,37,154411
0,2017,1,3178174,11202,3189376
1,2017,1,1391030,8016,1399046
2,2017,1,26304,13,26317
3,2017,1,89036,14,89050
4,2017,1,62166,1730,63896
5,2017,1,641066,133,641199
6,2017,1,88596,12,88608
7,2017,1,180296,57,180353
8,2017,1,29705,0,29705
9,2017,1,43202,1,43203
10,2017,1,71458,455,71913
11,2017,1,16207,18,16225
12,2017,1,169282,1451,170733
13,2017,1,97619,0,97619
14,2017,1,113227,2112,115339
15,2017,1,100288,1000,101288
16,2017,1,107632,1,107633
17,2017,1,51253,620,51873
18,2017,1,12992,315,13307
19,2017,1,26116,370,26486
20,2017,1,562520,362,562882
21,2017,1,34473,2,34475
22,2017,1,31938,619,32557
23,2017,1,152734,37,152771
0,2016,4,3131499,11202,3142701
1,2016,4,1393443,8016,1401459
2,2016,4,27021,13,27034
3,2016,4,88833,14,88847
4,2016,4,62035,1730,63765
5,2016,4,636422,133,636555
6,2016,4,88084,12,88096
7,2016,4,180188,57,180245
8,2016,4,29513,0,29513
9,2016,4,42624,1,42625
10,2016,4,71368,460,71828
11,2016,4,16298,18,16316
12,2016,4,169274,1451,170725
13,2016,4,97390,0,97390
14,2016,4,111723,2112,113835
15,2016,4,100020,1000,101020
16,2016,4,106934,1,106935
17,2016,4,51301,620,51921
18,2016,4,12992,315,13307
19,2016,4,26094,370,26464
20,2016,4,561470,362,561832
21,2016,4,35049,2,35051
22,2016,4,31938,619,32557
23,2016,4,151615,37,151652
0,2016,3,3075387,11205,3086592
1,2016,3,1395053,8051,1403104
2,2016,3,26957,13,26970
3,2016,3,89216,14,89230
4,2016,3,62222,1730,63952
5,2016,3,642458,133,642591
6,2016,3,88328,12,88340
7,2016,3,181092,57,181149
8,2016,3,27716,0,27716
9,2016,3,42537,1,42538
10,2016,3,69903,461,70364
11,2016,3,16912,18,16930
12,2016,3,169174,1450,170624
13,2016,3,97997,0,97997
14,2016,3,110491,2112,112603
15,2016,3,100024,1002,101026
16,2016,3,107790,1,107791
17,2016,3,51348,620,51968
18,2016,3,12978,315,13293
19,2016,3,25886,371,26257
20,2016,3,566625,386,567011
21,2016,3,35658,2,35660
22,2016,3,31306,619,31925
23,2016,3,151282,37,151319
0,2016,2,3032776,12515,3045291
1,2016,2,1384824,9760,1394584
2,2016,2,26543,13,26556
3,2016,2,88235,16,88251
4,2016,2,62116,1740,63856
5,2016,2,634680,234,634914
6,2016,2,86932,24,86956
7,2016,2,178194,179,178373
8,2016,2,28801,1,28802
9,2016,2,41187,2,41189
10,2016,2,68403,485,68888
11,2016,2,16718,18,16736
12,2016,2,169274,1550,170824
13,2016,2,95808,7,95815
14,2016,2,108224,2291,110515
15,2016,2,99631,1073,100704
16,2016,2,104929,3,104932
17,2016,2,51392,621,52013
18,2016,2,12939,317,13256
19,2016,2,25797,356,26153
20,2016,2,563867,607,564474
21,2016,2,36958,3,36961
22,2016,2,30740,619,31359
23,2016,2,148636,41,148677
0,2016,1,2929903,12612,2942515
1,2016,1,1328079,9817,1337896
2,2016,1,26376,13,26389
3,2016,1,86635,16,86651
4,2016,1,62060,1740,63800
5,2016,1,609692,234,609926
6,2016,1,85510,26,85536
7,2016,1,174634,179,174813
8,2016,1,28313,1,28314
9,2016,1,40287,2,40289
10,2016,1,65442,487,65929
11,2016,1,16673,18,16691
12,2016,1,169257,1553,170810
13,2016,1,92951,7,92958
14,2016,1,101969,2292,104261
15,2016,1,98745,1077,99822
16,2016,1,102423,3,102426
17,2016,1,51373,621,51994
18,2016,1,12915,317,13232
19,2016,1,25931,356,26287
20,2016,1,551378,618,551996
21,2016,1,37695,3,37698
22,2016,1,29867,619,30486
23,2016,1,146596,41,146637
0,2015,4,2946743,12642,2959385
1,2015,4,1360381,9845,1370226
2,2015,4,26459,13,26472
3,2015,4,86537,16,86553
4,2015,4,62279,1740,64019
5,2015,4,625835,235,626070
6,2015,4,85409,26,85435
7,2015,4,173957,180,174137
8,2015,4,28088,1,28089
9,2015,4,39922,2,39924
10,2015,4,66054,312,66366
11,2015,4,16914,18,16932
12,2015,4,169251,1556,170807
13,2015,4,92846,7,92853
14,2015,4,105122,2294,107416
15,2015,4,98655,1067,99722
16,2015,4,101917,3,101920
17,2015,4,51408,621,52029
18,2015,4,12901,317,13218
19,2015,4,26047,356,26403
20,2015,4,561045,627,561672
21,2015,4,39132,3,39135
22,2015,4,29334,619,29953
23,2015,4,146053,42,146095
0,2015,3,2916070,12695,2928765
1,2015,3,1362193,9875,1372068
2,2015,3,26080,13,26093
3,2015,3,85354,16,85370
4,2015,3,62143,1740,63883
5,2015,3,622761,237,622998
6,2015,3,84931,28,84959
7,2015,3,172252,182,172434
8,2015,3,27751,1,27752
9,2015,3,39548,2,39550
10,2015,3,64976,495,65471
11,2015,3,16753,18,16771
12,2015,3,169261,1562,170823
13,2015,3,91615,7,91622
14,2015,3,98376,2240,100616
15,2015,3,98529,1085,99614
16,2015,3,100570,3,100573
17,2015,3,51409,621,52030
18,2015,3,12902,317,13219
19,2015,3,25912,359,26271
20,2015,3,556097,641,556738
21,2015,3,39394,3,39397
22,2015,3,33118,619,33737
23,2015,3,144272,42,144314
0,2015,2,2871079,12711,2883790
1,2015,2,1336391,9893,1346284
2,2015,2,25666,13,25679
3,2015,2,83832,16,83848
4,2015,2,61745,1740,63485
5,2015,2,609510,236,609746
6,2015,2,83288,28,83316
7,2015,2,169309,183,169492
8,2015,2,27013,37,27050
9,2015,2,37720,2,37722
10,2015,2,63552,500,64052
11,2015,2,16491,18,16509
12,2015,2,169259,1564,170823
13,2015,2,88512,7,88519
14,2015,2,95644,2241,97885
15,2015,2,97640,1087,98727
16,2015,2,98264,3,98267
17,2015,2,51367,621,51988
18,2015,2,12904,317,13221
19,2015,2,25384,379,25763
20,2015,2,545739,649,546388
21,2015,2,39375,3,39378
22,2015,2,32960,619,33579
23,2015,2,140635,42,140677
0,2015,1,2847076,14766,2861842
1,2015,1,1321139,11582,1332721
2,2015,1,25312,20,25332
3,2015,1,81329,31,81360
4,2015,1,63327,1946,65273
5,2015,1,596663,294,596957
