Año,Trimestre,id_Provincia,<0.512 mbps,0.512 - 1 Mbps,1 - 6 Mbps,6 - 10 Mbps,10 - 20 Mbps,20 - 30 Mbps,>=30 Mbps,Otros,Total,Total2,Diferencia
2021,4,5,1000,2479,184548,130892,76246,41198,538700,12607,986770,987670,-900
2021,4,6,670,6450,28830,26368,22922,10087,39911,7082,135912,142320,-6408
2021,4,7,1070,3024,56043,49636,38295,24068,77290,16583,265046,266009,-963
2021,4,8,840,0,22908,6983,6811,1135,13775,1967,53663,54419,-756
2021,4,9,580,1750,22446,16793,38134,5640,33421,2324,113915,121088,-7173
2021,4,10,3010,4930,64840,9082,12259,4821,12184,3027,107007,114153,-7146
2021,4,11,180,10,5018,5437,23559,5671,43424,0,83128,83299,-171
2021,4,12,1560,1463,66428,30308,75214,18621,75031,3660,267587,272285,-4698
2021,4,13,510,50,41916,23554,26721,15954,54596,8335,171132,171636,-504
2021,4,14,1400,9400,42313,13264,10515,331,69217,7767,147466,154207,-6741
2021,4,15,1560,1174,38373,19878,31255,413,36142,22645,153753,151440,2313
2021,4,16,1140,200,40673,69324,6642,3535,72622,6475,199405,200611,-1206
2021,4,17,440,1442,28906,10955,23978,3980,9800,4435,79958,83936,-3978
2021,4,18,620,2640,8550,4276,9107,67363,9,29218,118849,121783,-2934
2021,4,19,520,2970,20305,11641,13054,177,876,4910,48486,54453,-5967
2021,4,20,4670,5810,169706,206856,8569,62349,322015,18777,866441,798752,67689
2021,4,21,1780,9090,31915,61524,12205,8000,7537,7930,115861,139981,-24120
2021,4,22,260,3850,13505,16534,16562,1748,1017,258,52357,53734,-1377
2021,4,23,390,970,37321,48736,21023,5326,125857,2400,238639,242023,-3384
2021,3,0,37193,31149,1108940,248153,141383,192797,2482266,9728,4251609,4251609,0
2021,3,1,2950,6030,156978,67013,39785,73502,1075229,0,1413405,1421487,-8082
2021,3,2,710,0,6755,8428,10517,1659,26618,2206,56254,56893,-639
2021,3,3,3010,1120,22545,20986,23852,14412,49705,7958,139871,143588,-3717
2021,3,4,1040,1050,89168,26281,18538,532,1643,14907,156066,153159,2907
2021,3,5,990,2452,204989,141285,6505,47198,476459,9256,946788,889134,57654
2021,3,6,670,6450,29629,28478,24792,9687,35468,5053,133819,140227,-6408
2021,3,7,1070,3024,61354,59776,39114,16284,67961,12755,260375,261338,-963
2021,3,8,3810,0,22778,7142,6978,1192,12707,1617,52795,56224,-3429
2021,3,9,480,1750,23884,16417,37755,5610,29917,2401,111158,118214,-7056
2021,3,10,2980,3130,65063,7395,8737,4023,10506,4152,100487,105986,-5499
2021,3,11,180,10,5366,5979,23315,4868,42613,0,82160,82331,-171
